id  front  fgtId1  fgtId2  fgtId3  fgtId4  fgtId5  P1  P2  P3  P4  P5  P6  
1  5  1007  1008  1015  1016  1018  7  8  9  15  16  18  
2  4  1001  1003  1012  1014  1016  1  3  4  12  14  16  
3  1  1001  1002  1011  1017  1018  1  2  3  11  17  18  
4  1  1002  1005  1011  1014  1016  2  5  10  11  14  16  
5  1  1001  1002  1012  1013  1016  1  2  7  12  13  16  
6  6  1001  1002  1011  1013  1016  1  2  3  11  13  16  
7  9  1001  1002  1011  1013  1017  1  2  9  11  13  17  
8  5  1003  1005  1012  1013  1017  3  5  9  12  13  17  
9  3  1001  1005  1013  1015  1017  1  5  8  13  15  17  
10  7  1001  1006  1011  1012  1018  1  6  10  11  12  18  
11  3  1001  1005  1012  1014  1015  1  5  7  12  14  15  
12  8  1002  1007  1014  1015  1016  2  7  10  14  15  16  
13  5  1005  1007  1011  1012  1018  5  7  9  11  12  18  
14  8  1002  1003  1011  1013  1015  2  3  10  11  13  15  
15  10  1002  1003  1014  1017  1018  2  3  7  14  17  18  
16  10  1003  1006  1011  1014  1018  3  6  7  11  14  18  
17  4  1001  1007  1015  1016  1018  1  7  10  15  16  18  
18  7  1004  1005  1012  1013  1018  4  5  10  12  13  18  
19  5  1001  1003  1012  1014  1017  1  3  4  12  14  17  
20  7  1001  1003  1012  1017  1018  1  3  5  12  17  18  
21  7  1002  1003  1012  1013  1015  2  3  6  12  13  15  
22  3  1003  1005  1015  1017  1018  3  5  7  15  17  18  
23  8  1001  1005  1012  1013  1017  1  5  7  12  13  17  
24  2  1004  1006  1012  1015  1017  4  6  9  12  15  17  
25  7  1002  1007  1013  1017  1018  2  7  10  13  17  18  
26  5  1001  1003  1014  1015  1016  1  3  6  14  15  16  
27  6  1003  1006  1016  1017  1018  3  6  7  16  17  18  
28  8  1002  1004  1012  1013  1014  2  4  6  12  13  14  
29  8  1001  1002  1012  1015  1016  1  2  3  12  15  16  
30  5  1006  1007  1014  1016  1018  6  7  9  14  16  18  
31  9  1003  1004  1014  1015  1017  3  4  7  14  15  17  
32  6  1001  1002  1012  1016  1018  1  2  5  12  16  18  
33  5  1003  1006  1014  1017  1018  3  6  7  14  17  18  
34  5  1006  1007  1012  1013  1017  6  7  9  12  13  17  
35  10  1003  1005  1011  1014  1015  3  5  10  11  14  15  
36  3  1001  1003  1014  1015  1018  1  3  7  14  15  18  
37  7  1003  1005  1011  1013  1017  3  5  7  11  13  17  
38  4  1003  1005  1014  1017  1018  3  5  10  14  17  18  
39  7  1004  1005  1014  1016  1017  4  5  8  14  16  17  
40  7  1003  1004  1011  1014  1018  3  4  6  11  14  18  
41  8  1001  1007  1012  1016  1018  1  7  8  12  16  18  
42  7  1001  1002  1013  1014  1018  1  2  4  13  14  18  
43  5  1001  1002  1011  1012  1017  1  2  8  11  12  17  
44  10  1001  1005  1013  1014  1018  1  5  9  13  14  18  
45  10  1005  1007  1014  1016  1017  5  7  9  14  16  17  
46  10  1002  1005  1012  1014  1016  2  5  9  12  14  16  
47  5  1004  1006  1015  1017  1018  4  6  10  15  17  18  
48  8  1001  1002  1011  1013  1015  1  2  4  11  13  15  
49  1  1004  1005  1011  1013  1018  4  5  7  11  13  18  
50  8  1002  1003  1013  1015  1017  2  3  8  13  15  17  
51  6  1005  1007  1016  1017  1018  5  7  8  16  17  18  
52  9  1001  1007  1014  1016  1017  1  7  8  14  16  17  
53  3  1001  1002  1011  1015  1018  1  2  4  11  15  18  
54  3  1004  1005  1011  1013  1016  4  5  7  11  13  16  
55  4  1002  1003  1011  1016  1018  2  3  7  11  16  18  
56  10  1002  1006  1013  1017  1018  2  6  9  13  17  18  
57  7  1002  1005  1013  1015  1018  2  5  9  13  15  18  
58  1  1004  1006  1012  1013  1018  4  6  9  12  13  18  
59  2  1001  1003  1011  1013  1018  1  3  8  11  13  18  
60  4  1002  1003  1012  1014  1015  2  3  6  12  14  15  
61  10  1004  1005  1012  1014  1016  4  5  6  12  14  16  
62  8  1003  1004  1011  1012  1017  3  4  10  11  12  17  
63  2  1003  1004  1011  1012  1017  3  4  10  11  12  17  
64  2  1001  1004  1011  1012  1016  1  4  9  11  12  16  
65  4  1005  1006  1013  1016  1018  5  6  8  13  16  18  
66  2  1003  1006  1012  1016  1018  3  6  7  12  16  18  
67  3  1001  1002  1013  1014  1016  1  2  8  13  14  16  
68  3  1001  1002  1012  1015  1016  1  2  6  12  15  16  
69  10  1005  1007  1012  1015  1016  5  7  8  12  15  16  
70  10  1002  1005  1011  1014  1017  2  5  6  11  14  17  
71  6  1001  1002  1011  1017  1018  1  2  7  11  17  18  
72  6  1004  1005  1011  1013  1015  4  5  6  11  13  15  
73  1  1004  1005  1012  1016  1018  4  5  10  12  16  18  
74  4  1003  1004  1013  1014  1016  3  4  9  13  14  16  
75  4  1001  1007  1012  1017  1018  1  7  9  12  17  18  
76  10  1001  1007  1011  1016  1017  1  7  10  11  16  17  
77  8  1001  1003  1012  1013  1016  1  3  9  12  13  16  
78  4  1001  1002  1013  1014  1018  1  2  5  13  14  18  
79  7  1001  1002  1014  1015  1016  1  2  6  14  15  16  
80  10  1003  1004  1013  1015  1016  3  4  6  13  15  16  
81  4  1003  1005  1016  1017  1018  3  5  8  16  17  18  
82  6  1001  1002  1011  1015  1016  1  2  4  11  15  16  
83  7  1002  1004  1011  1017  1018  2  4  10  11  17  18  
84  3  1002  1004  1014  1017  1018  2  4  5  14  17  18  
85  5  1001  1003  1015  1016  1017  1  3  4  15  16  17  
86  8  1002  1003  1012  1013  1016  2  3  10  12  13  16  
87  3  1004  1005  1011  1012  1016  4  5  9  11  12  16  
88  3  1004  1007  1011  1015  1017  4  7  8  11  15  17  
89  7  1002  1005  1011  1013  1017  2  5  10  11  13  17  
90  6  1001  1003  1012  1013  1017  1  3  9  12  13  17  
91  10  1001  1002  1012  1015  1016  1  2  5  12  15  16  
92  4  1002  1004  1011  1017  1018  2  4  10  11  17  18  
93  8  1003  1005  1012  1017  1018  3  5  9  12  17  18  
94  3  1001  1003  1014  1016  1017  1  3  9  14  16  17  
95  9  1003  1007  1011  1012  1016  3  7  10  11  12  16  
96  2  1002  1005  1011  1014  1018  2  5  6  11  14  18  
97  4  1002  1005  1012  1015  1016  2  5  10  12  15  16  
98  7  1001  1002  1012  1013  1017  1  2  6  12  13  17  
99  5  1004  1005  1011  1012  1014  4  5  6  11  12  14  
100  6  1001  1005  1012  1013  1016  1  5  7  12  13  16  
101  10  1001  1007  1012  1017  1018  1  7  8  12  17  18  
102  7  1001  1002  1012  1014  1016  1  2  3  12  14  16  
103  6  1001  1004  1011  1012  1018  1  4  9  11  12  18  
104  5  1003  1004  1011  1013  1017  3  4  5  11  13  17  
105  2  1004  1006  1013  1016  1018  4  6  8  13  16  18  
106  1  1002  1004  1014  1016  1018  2  4  9  14  16  18  
107  8  1003  1004  1011  1016  1018  3  4  8  11  16  18  
108  9  1004  1005  1012  1014  1016  4  5  9  12  14  16  
109  6  1002  1005  1011  1015  1016  2  5  9  11  15  16  
110  4  1003  1005  1012  1015  1016  3  5  7  12  15  16  
111  8  1003  1007  1011  1012  1014  3  7  9  11  12  14  
112  6  1002  1003  1012  1015  1017  2  3  6  12  15  17  
113  7  1001  1003  1012  1013  1014  1  3  6  12  13  14  
114  5  1002  1004  1014  1015  1016  2  4  10  14  15  16  
115  2  1001  1003  1015  1016  1018  1  3  10  15  16  18  
116  5  1001  1002  1011  1012  1018  1  2  5  11  12  18  
117  5  1006  1007  1012  1013  1017  6  7  10  12  13  17  
118  9  1001  1002  1012  1016  1017  1  2  4  12  16  17  
119  6  1003  1007  1013  1014  1018  3  7  10  13  14  18  
120  8  1003  1007  1011  1014  1017  3  7  9  11  14  17  
121  7  1002  1006  1011  1012  1013  2  6  9  11  12  13  
122  10  1001  1004  1012  1014  1016  1  4  7  12  14  16  
123  2  1001  1007  1014  1017  1018  1  7  10  14  17  18  
124  4  1003  1007  1012  1014  1016  3  7  9  12  14  16  
125  9  1002  1007  1015  1016  1018  2  7  9  15  16  18  
126  4  1001  1002  1011  1016  1017  1  2  7  11  16  17  
127  7  1001  1004  1012  1014  1015  1  4  9  12  14  15  
128  2  1001  1002  1014  1017  1018  1  2  4  14  17  18  
129  2  1002  1004  1013  1014  1017  2  4  8  13  14  17  
130  6  1004  1005  1014  1015  1016  4  5  6  14  15  16  
131  6  1006  1007  1011  1012  1018  6  7  10  11  12  18  
132  2  1004  1006  1012  1013  1016  4  6  7  12  13  16  
133  8  1001  1002  1013  1014  1017  1  2  3  13  14  17  
134  8  1005  1007  1014  1015  1017  5  7  9  14  15  17  
135  9  1002  1006  1016  1017  1018  2  6  10  16  17  18  
136  4  1002  1005  1011  1015  1018  2  5  8  11  15  18  
137  6  1006  1007  1014  1015  1017  6  7  10  14  15  17  
138  9  1001  1002  1011  1014  1018  1  2  10  11  14  18  
