神像等级	升级需要的exp	累计升级需要的EXP	每小时减少的exp	加成hp	加成attack	加成action
level	needExp	needExps	consumeExp	exHp	exAttack	exAction
1	0	0	0	60	6	3
2	1300	1300	20	126	12	6
3	2925	4225	40	212	21	10
4	5200	9425	60	317	31	15
5	8125	17550	100	440	44	22
6	11700	29250	150	581	58	29
7	15925	45175	200	739	73	36
8	20800	65975	250	914	91	45
9	26325	92300	300	1104	110	55
10	32500	124800	350	1311	131	65
11	39325	164125	400	1534	153	76
12	46800	210925	450	1771	177	88
13	54925	265850	500	2024	202	101
14	63700	329550	550	2292	229	114
15	73125	402675	600	2574	257	128
16	83200	485875	650	2871	287	143
17	93925	579800	700	3182	318	159
18	105300	685100	750	3508	350	175
19	117325	802425	800	3847	384	192
20	130000	932425	850	4200	420	210
21	143325	1075750	900	4567	456	228
22	157300	1233050	950	4948	494	247
23	171925	1404975	1000	5342	534	267
24	187200	1592175	1050	5749	574	287
25	203125	1795300	1100	6170	617	308
26	219700	2015000	1150	6603	660	330
27	236925	2251925	1200	7050	705	352
28	254800	2506725	1250	7510	751	375
29	273325	2780050	1300	7982	798	399
30	292500	3072550	1350	8468	846	423
31	312325	3384875	1400	8966	896	448
32	332800	3717675	1450	9476	947	473
33	353925	4071600	1500	10000	1000	500
