id	name	color	job	childid	speed	size	skillBattle	hp	mp	attPhy	defPhy	attMag	defMag	knock	defKnock	hit	dodge	
1	张飞	5	1	2001	200	50	1101;1102;1103;1104;1105;1108;11201	2000	100	99	40	15	30	60	40	80	40	
2	赵云	5	1	2001	200	5	4;10201	1000	100	97	50	60	30	20	60	85	60	
3	军阀骑将男	5	2	2002	400	5	605;11901	2000	100	97	30	60	30	20	60	85	60	
4	军阀弓兵	5	3	2003	200	5	501;503	1000	100	90	20	60	40	20	60	85	60	
5	标准步将	5	2	2002	200	5	5;11201	2000	100	90	50	0	40	20	60	85	60	
6	标准枪将	5	2	2002	200	5	5;10201	2000	100	90	50	0	40	20	60	85	60	
7	标准骑将	5	2	2002	200	5	5;11901	2000	100	90	50	0	40	20	60	85	60	
8	标准弓将	5	2	2002	200	5	5;11201	1000	100	90	30	0	30	20	60	85	60	
9	标准谋将	5	2	2002	200	5	5;10201	1000	100	0	30	90	30	20	60	85	60	
10	主角	5	2	2002	400	5	605;11901	1500	100	97	40	60	40	20	60	85	60	
11	女主角	5	2	2002	400	5	705;11201	1500	100	97	40	60	40	20	60	85	60	
1001	许褚	5	1	2001	200	5	11;11201	2000	100	90	20	60	40	60	40	80	40	
1002	赵云	5	1	2001	200	5	4;10201	2000	100	90	20	60	40	20	60	85	60	
1003	管亥	5	1	2001	200	5	302;11901	2000	100	90	20	60	40	20	60	85	60	
1004	张薇薇	5	3	2003	200	5	6;11201	1000	100	0	30	90	30	20	60	85	60	
1005	华雄	5	1	2001	200	5	4;10201	2000	100	90	20	60	40	20	60	85	60	
1006	徐晃	5	3	2003	200	5	1005;1001;11901	1000	100	90	30	0	30	20	60	85	60	
1007	蔡文姬	5	3	2003	200	5	12;6;11201	1000	100	0	30	90	30	20	60	85	60	
1008	典韦	5	1	2001	200	5	4;10201	2000	100	90	20	60	40	20	60	85	60	
1009	贾诩	5	3	2003	200	5	401;402;403;405;11901	1000	100	60	20	97	40	20	60	85	60	
1010	邹氏	5	1	2001	200	5	4;11201	2000	100	90	20	60	40	20	60	85	60	
1011	张辽	5	3	2003	200	5	6;10201	1000	100	90	30	0	30	20	60	85	60	
1012	陈宫	5	3	2003	200	5	6;11901	1000	100	0	30	90	30	20	60	85	60	
1013	吕玲绮	5	1	2001	200	5	803;11201	2000	100	90	20	60	40	20	60	85	60	
1014	颜良	5	2	2002	400	5	605;11901	1500	100	90	20	60	40	20	60	85	60	
1015	文丑	5	2	2002	400	5	605;11901	1500	100	90	20	60	40	20	60	85	60	
1016	张合	5	1	2001	200	5	4;11201	2000	100	90	20	60	40	20	60	85	60	
1017	纪灵	5	2	2002	400	5	1203;10201	1500	100	90	20	60	40	20	60	85	60	
1018	甄姬	5	3	2003	200	5	1305;1301;11901	1000	100	90	30	0	30	20	60	85	60	
2001	刀盾兵	5	1	0	200	5	201	400	100	60	30	0	10	10	60	60	20	
2002	骑兵	5	2	0	400	5	903	400	100	60	30	0	10	10	60	60	20	
2003	弓箭兵	5	3	0	200	5	503;501	100	100	60	10	0	30	10	60	60	20	
2004	谋士	5	4	0	200	5	6	100	100	0	10	60	30	10	60	60	20	
2005	长枪兵	5	5	0	200	5	4	400	100	60	30	0	10	10	60	60	20	
2101	刀盾兵	5	1	0	200	5	4	350	100	60	15	0	15	10	60	60	20	
2102	骑兵	5	2	0	400	5	5	350	100	60	15	0	15	10	60	60	20	
2103	弓箭兵	5	3	0	200	5	503;501	75	100	60	10	0	30	10	60	60	20	
2104	谋士	5	4	0	200	5	6	75	100	0	10	60	30	10	60	60	20	
2105	长枪兵	5	5	0	200	5	4	350	100	60	15	0	15	10	60	60	20	
2301	弓箭兵	5	3	0	200	5	6	50	100	0	10	60	30	10	60	60	20	
3001	张梁	5	2	2002	400	5	1203;11901	1500	100	97	40	60	40	20	60	85	60	
